time_of_day,is_walking,is_gps_moving,movement_speed_kmh,playback_duration_minutes,is_repeated_playback,current_signal,is_weak_signal,sig_hist_t_1,sig_hist_t_2,sig_hist_t_3,sig_hist_t_4,sig_hist_t_5,disconnect_probability,label_will_disconnect
1,0,0,0.0,19.819979914967302,0,0,1,1,1,1,2,2,0.5482717166051359,0
23,0,0,0.0,26.802320301237312,0,0,1,0,1,1,1,2,0.6999577615421342,1
11,0,0,0.0,67.6004210139089,0,0,1,0,0,1,1,1,0.5811988996881949,0
5,0,0,0.0,10.524210128949653,0,1,1,0,0,0,1,1,0.4299941209100761,0
1,0,0,0.0,55.1376546878338,0,1,1,1,0,0,0,1,0.5753456685492477,0
20,0,0,0.0,2.425783434253637,0,1,1,1,1,0,0,0,0.5086429322225545,0
0,0,0,0.0,27.14094158119113,0,0,1,1,1,1,0,0,0.6878267471355256,1
11,1,1,4.084378820032078,6.689666753106477,0,0,1,0,1,1,1,0,0.9278982176701723,1
21,1,1,4.705238153789596,6.807519929790748,0,0,1,0,0,1,1,1,0.9405443441054536,1
11,1,1,3.7721005613458827,4.692895903690527,0,1,1,0,0,0,1,1,0.9832308298657324,1
16,0,0,0.0,2.8567067085614686,0,0,1,1,0,0,0,1,0.6225919723688164,0
9,0,0,0.0,8.756756472684673,1,1,1,0,1,0,0,0,0.5431738955443267,0
15,0,0,0.0,65.47668801949487,0,2,0,1,0,1,0,0,0.480929366457689,0
14,0,0,0.0,6.005082546680958,0,3,0,2,1,0,1,0,0.31677822541881573,0
14,1,1,6.195699411196,9.272871352853407,0,2,0,3,2,1,0,1,0.5487951464361479,0
18,0,0,0.0,3.891363832715195,0,2,0,2,3,2,1,0,0.35049687297877385,0
11,0,0,0.0,6.167423378592679,0,2,0,2,2,3,2,1,0.3051583420383335,0
22,0,0,0.0,0.8507964187111084,0,2,0,2,2,2,3,2,0.31583857543447535,0
19,1,1,4.83763426941473,46.865272018204266,0,2,0,2,2,2,2,3,0.5516178444059693,0
2,0,0,0.0,10.694194647352155,0,3,0,2,2,2,2,2,0.29757790400569695,0
4,0,0,0.0,19.804855352143168,0,3,0,3,2,2,2,2,0.20645476376667887,0
18,0,0,0.0,10.80128763639479,1,4,0,3,3,2,2,2,0.18665030667011975,0
6,1,1,3.8485433137215486,22.05798479166793,0,4,0,4,3,3,2,2,0.3164792828170393,0
20,0,0,0.0,11.456455172352843,0,4,0,4,4,3,3,2,0.07078124783299972,0
8,0,0,0.0,18.137025599508323,0,4,0,4,4,4,3,3,0.10142728472151866,0
6,0,0,0.0,17.318266346183407,0,4,0,4,4,4,4,3,0.1253350114240926,0
17,1,1,4.593057472394907,11.439483673809812,0,3,0,4,4,4,4,4,0.3349173277240783,0
3,0,0,0.0,3.931912840035495,0,3,0,3,4,4,4,4,0.15842947138043162,0
13,0,0,0.0,3.5709604691533112,1,4,0,3,3,4,4,4,0.02576071920327961,0
17,0,0,0.0,31.108467857172414,0,4,0,4,3,3,4,4,0.05144620171982105,0
8,0,0,0.0,1.929208253078534,1,4,0,4,4,3,3,4,0.06684843885210026,0
20,1,1,5.482146367425443,12.288880049266956,1,4,0,4,4,4,3,3,0.18120996192870456,0
1,0,0,0.0,10.473451867729073,0,4,0,4,4,4,4,3,0.008692969813111184,0
19,1,1,4.676049905523374,24.02205290219929,1,4,0,4,4,4,4,4,0.25799696961914204,0
14,1,1,3.8398429475959186,2.18219717938166,0,4,0,4,4,4,4,4,0.1927591117756963,0
6,0,0,0.0,17.437578976221143,0,4,0,4,4,4,4,4,0.0,0
11,1,1,4.125549367034735,13.965399255076838,1,4,0,4,4,4,4,4,0.19741772869761637,0
7,1,1,5.093691289606222,18.119537516275095,0,4,0,4,4,4,4,4,0.20290266908325258,0
14,1,1,5.7325437862079625,14.562220873288695,0,4,0,4,4,4,4,4,0.23451174854214601,0
2,0,0,0.0,12.40180332847901,0,3,0,4,4,4,4,4,0.1664978101540711,0
13,0,0,0.0,39.1098262895391,0,4,0,3,4,4,4,4,0.08823233643303527,0
16,0,0,0.0,6.430796499565804,0,4,0,4,3,4,4,4,0.044702651221127467,0
3,0,0,0.0,3.0627595331692583,0,4,0,4,4,3,4,4,0.04858847517199704,0
17,0,0,0.0,23.80092572773815,0,4,0,4,4,4,3,4,0.0,0
7,0,0,0.0,2.0836123528527346,0,4,0,4,4,4,4,3,0.033813074680293126,0
3,0,0,0.0,17.078517311200176,1,3,0,4,4,4,4,4,0.10614681765416203,0
1,0,0,0.0,11.962962673926558,0,3,0,3,4,4,4,4,0.18717564676997034,0
5,0,0,0.0,0.5,0,3,0,3,3,4,4,4,0.2814403950499258,0
21,0,0,0.0,4.113834181430373,0,4,0,3,3,3,4,4,0.09929960998475743,0
9,0,0,0.0,10.274825582987223,0,4,0,4,3,3,3,4,0.13736027447042684,0
3,0,0,0.0,6.000782615906927,0,4,0,4,4,3,3,3,0.11648859450127091,0
21,0,0,0.0,8.35021061093296,0,4,0,4,4,4,3,3,0.0,0
17,1,1,4.316174288428996,13.79206317473441,0,4,0,4,4,4,4,3,0.2323286354350508,0
11,0,0,0.0,19.685932456069136,0,4,0,4,4,4,4,4,0.0,0
1,0,0,0.0,2.459107123845286,1,3,0,4,4,4,4,4,0.07352509394009728,0
9,1,1,6.825382056682391,4.9883616476946555,0,4,0,3,4,4,4,4,0.29383503826790036,0
3,0,0,0.0,15.179247048111662,0,3,0,4,3,4,4,4,0.2340340887918715,0
13,0,0,0.0,13.317031187447851,0,3,0,3,4,3,4,4,0.002159951970034213,0
15,1,1,4.962101661453468,20.02536186030549,0,3,0,3,3,4,3,4,0.32344352721727915,0
14,1,1,4.347212999696814,15.34603071363221,0,3,0,3,3,3,4,3,0.36994028271827845,0
7,1,1,2.410782049672047,6.0105339534352495,0,3,0,3,3,3,3,4,0.33302659205972407,0
13,0,0,0.0,10.374300114326115,0,3,0,3,3,3,3,3,0.20905666849534896,0
22,0,0,0.0,32.40870335316955,0,3,0,3,3,3,3,3,0.20708868119415413,0
7,0,0,0.0,3.088578234687285,1,4,0,3,3,3,3,3,0.11774110434023102,0
20,1,1,4.751697797865964,7.091988008540455,0,4,0,4,3,3,3,3,0.30465742690446285,0
15,0,0,0.0,27.65167900379483,0,4,0,4,4,3,3,3,0.10807503427429284,0
12,1,1,4.935439926730929,6.792932103913078,0,4,0,4,4,4,3,3,0.22883582757343507,0
17,0,0,0.0,7.971169324926808,0,4,0,4,4,4,4,3,0.10838457375587973,0
14,0,0,0.0,5.767803848245362,0,3,0,4,4,4,4,4,0.058949886302382404,0
20,0,0,0.0,34.46777383660688,1,2,0,3,4,4,4,4,0.30916105305839214,0
23,0,0,0.0,16.330281522065533,0,2,0,2,3,4,4,4,0.2724783935525658,0
12,0,0,0.0,3.5126680296976165,0,2,0,2,2,3,4,4,0.2584320771002414,0
8,1,1,5.303153198499548,20.772484021594593,0,1,1,2,2,2,3,4,0.6869562225540308,1
14,0,0,0.0,0.5891539609861602,0,1,1,1,2,2,2,3,0.5039343152750657,0
12,1,1,3.108239186613745,7.572864597413131,0,0,1,1,1,2,2,2,0.8715411639423414,1
0,1,1,5.939760841989532,36.08085932178278,0,0,1,0,1,1,2,2,0.8617575108350983,1
6,1,1,3.531379118739937,17.55736691157448,0,1,1,0,0,1,1,2,0.7778175581853968,1
8,1,1,4.990095002543946,23.6324860697902,1,2,0,1,0,0,1,1,0.5709774992125116,0
23,0,0,0.0,40.17339432154556,0,1,1,2,1,0,0,1,0.5731902753837059,0
0,0,0,0.0,22.344956883389877,0,1,1,1,2,1,0,0,0.5507390158019373,0
11,0,1,25.0,1.3913372929371557,0,1,1,1,1,2,1,0,0.7928873720858518,1
7,0,0,0.0,3.93299039345571,0,0,1,1,1,1,2,1,0.5800900721376713,0
23,0,0,0.0,10.397035053030402,0,0,1,0,1,1,1,2,0.5237309983365626,0
10,0,0,0.0,0.5,0,1,1,0,0,1,1,1,0.6579725777991073,1
18,0,0,0.0,14.6963466709198,0,0,1,1,0,0,1,1,0.5936499355064019,0
16,0,0,0.0,16.061075120513124,0,0,1,0,1,0,0,1,0.6004315076305979,0
7,0,0,0.0,17.883058021447454,1,0,1,0,0,1,0,0,0.6420459639021197,0
2,0,0,0.0,12.169666283792917,1,1,1,0,0,0,1,0,0.622663416909286,0
2,0,0,0.0,9.032585916525463,0,1,1,1,0,0,0,1,0.5338435002606647,0
0,0,0,0.0,29.022138097539326,0,1,1,1,1,0,0,0,0.5154106116640647,0
4,0,0,0.0,21.87218725686816,0,0,1,1,1,1,0,0,0.5255062002196595,0
9,0,0,0.0,14.215111827804256,0,1,1,0,1,1,1,0,0.505129717167151,0
6,1,1,6.231665707974475,0.7065894097321471,0,0,1,1,0,1,1,1,0.9421882164789892,1
8,0,0,0.0,17.759071477842063,0,0,1,0,1,0,1,1,0.5817057921757757,0
6,1,1,5.396599743187567,12.252145381716492,0,0,1,0,0,1,0,1,0.9787397543150499,1
8,0,0,0.0,17.73753661007929,0,0,1,0,0,0,1,0,0.603668551604251,0
7,0,0,0.0,5.596634160072469,0,0,1,0,0,0,0,1,0.6025085523532302,0
11,0,0,0.0,22.507774712336182,0,1,1,0,0,0,0,0,0.5484407459429361,0
1,0,0,0.0,8.117655229928452,0,1,1,1,0,0,0,0,0.5059561533380836,0
0,0,0,0.0,33.731183646876474,0,1,1,1,1,0,0,0,0.5187918771336115,0
15,0,0,0.0,1.6473973257395251,0,2,0,1,1,1,0,0,0.43151985288424244,0
22,0,0,0.0,9.940703692159747,0,2,0,2,1,1,1,0,0.3694835441350539,0
22,1,1,4.602031416753318,3.4551223354696567,0,2,0,2,2,1,1,1,0.5779856036224977,0
23,0,0,0.0,9.062486970138687,1,2,0,2,2,2,1,1,0.3165228735777539,0
4,0,0,0.0,6.548863401232746,1,1,1,2,2,2,2,1,0.4172457341402903,0
2,0,0,0.0,24.40136475014559,0,1,1,1,2,2,2,2,0.42996434574528125,0
11,0,0,0.0,2.743873260270365,0,1,1,1,1,2,2,2,0.48272391260329733,0
7,1,1,2.95925898204841,13.696349228134517,0,1,1,1,1,1,2,2,0.7810128449746601,1
21,0,0,0.0,7.825378117370275,0,1,1,1,1,1,1,2,0.44784138467558954,0
2,0,1,25.0,10.949506402523422,0,2,0,1,1,1,1,1,0.5059769558108539,0
0,0,0,0.0,18.797628971707013,0,3,0,2,1,1,1,1,0.2798950356458212,0
2,0,0,0.0,6.626518933630678,0,4,0,3,2,1,1,1,0.22843182847806534,0
4,0,0,0.0,6.860526692425548,0,4,0,4,3,2,1,1,0.1729534472787392,0
14,1,1,6.785208621660906,1.1986842537404279,0,4,0,4,4,3,2,1,0.23016292087278153,0
13,0,0,0.0,12.0426988763725,0,3,0,4,4,4,3,2,0.23079773510614954,0
2,0,0,0.0,8.091057973573653,0,3,0,3,4,4,4,3,0.1094110067666985,0
0,0,0,0.0,25.09279556734312,0,3,0,3,3,4,4,4,0.2160323980486502,0
4,0,0,0.0,8.6775812722765,0,3,0,3,3,3,4,4,0.2009720946638653,0
22,1,1,4.74129669833043,53.002365434501534,1,2,0,3,3,3,3,4,0.43239945311143085,0
13,0,0,0.0,2.8272468731550515,0,3,0,2,3,3,3,3,0.24169435685877025,0
6,0,0,0.0,4.660399691659019,0,3,0,3,2,3,3,3,0.20886917289765453,0
8,1,1,6.867974791891818,7.461572505016779,0,3,0,3,3,2,3,3,0.3926369127865872,0
14,0,0,0.0,2.8025513383069733,0,4,0,3,3,3,2,3,0.07373921543374609,0
14,1,1,4.232729422803645,53.804083834134175,0,4,0,4,3,3,3,2,0.2728275986122542,0
9,0,0,0.0,15.364838829803828,0,4,0,4,4,3,3,3,0.0,0
12,1,1,2.6427909897191286,0.5,0,4,0,4,4,4,3,3,0.12701975025872742,0
18,0,0,0.0,12.959384645802572,1,4,0,4,4,4,4,3,0.08614989770378273,0
6,0,0,0.0,22.797324511321907,0,4,0,4,4,4,4,4,0.053272087559443154,0
16,1,1,5.4283272869592265,0.7899411737112265,0,4,0,4,4,4,4,4,0.2127811550000391,0
19,1,1,4.826113228939789,12.938518827372803,0,4,0,4,4,4,4,4,0.24405860099834098,0
3,1,1,3.2451970009590685,7.033549510848533,0,3,0,4,4,4,4,4,0.3138837246255173,0
4,0,0,0.0,13.065345519777608,1,4,0,3,4,4,4,4,0.08622326124132323,0
22,0,0,0.0,4.367440616235821,0,3,0,4,3,4,4,4,0.19788044582266484,0
6,0,0,0.0,16.449957662392414,0,3,0,3,4,3,4,4,0.06858201400516306,0
12,1,1,3.3980400960521955,16.690642742770557,0,4,0,3,3,4,3,4,0.10768753374398368,0
14,0,0,0.0,11.631814925073176,0,3,0,4,3,3,4,3,0.183437136710566,0
10,0,0,0.0,38.606815307560225,0,3,0,3,4,3,3,4,0.18653034506533095,0
3,0,0,0.0,36.03268246703667,0,3,0,3,3,4,3,3,0.1833129378461072,0
12,0,0,0.0,0.730523926709249,0,4,0,3,3,3,4,3,0.04729354128438895,0
6,1,1,5.126495765043085,5.135112538547029,0,4,0,4,3,3,3,4,0.2084223603449814,0
18,0,0,0.0,6.794457262098291,0,4,0,4,4,3,3,3,0.07002670525880891,0
21,0,0,0.0,0.8528173547226048,0,4,0,4,4,4,3,3,0.046024567912760786,0
1,0,0,0.0,11.123639336536078,0,4,0,4,4,4,4,3,0.09792402995894567,0
9,0,0,0.0,0.5,0,4,0,4,4,4,4,4,0.05860597153097892,0
12,0,0,0.0,17.001260316759538,0,3,0,4,4,4,4,4,0.14773452542710452,0
20,0,0,0.0,0.5,0,4,0,3,4,4,4,4,0.1100930519546593,0
5,0,0,0.0,0.5,0,4,0,4,3,4,4,4,0.08981746657969122,0
11,0,0,0.0,26.914225272165513,0,4,0,4,4,3,4,4,0.06484976750861611,0
11,0,0,0.0,4.367508514795437,0,3,0,4,4,4,3,4,0.11215336494538072,0
19,0,0,0.0,1.2707745646549709,0,3,0,3,4,4,4,3,0.21310371355431165,0
10,1,1,4.153836071016252,7.649053571138211,1,3,0,3,3,4,4,4,0.3704302889067395,0
22,0,0,0.0,0.7843865573561709,0,4,0,3,3,3,4,4,0.057793333640687984,0
6,1,1,6.211994414812759,20.819046058848897,0,4,0,4,3,3,3,4,0.2742827919931036,0
0,0,0,0.0,10.222645417658097,0,4,0,4,4,3,3,3,0.019758620826432177,0
0,0,0,0.0,12.042170134658141,0,4,0,4,4,4,3,3,0.0,0
19,0,0,0.0,20.976244803252698,0,3,0,4,4,4,4,3,0.19568040835324907,0
12,1,1,4.584515897346958,23.019026353352167,0,3,0,3,4,4,4,4,0.3119701485879457,0
8,0,1,25.0,2.1972253800322763,0,2,0,3,3,4,4,4,0.3415737861960469,0
2,0,0,0.0,4.933387526637802,0,2,0,2,3,3,4,4,0.3028350153217589,0
6,1,1,5.298956843052558,2.897694496175161,0,1,1,2,2,3,3,4,0.702267341533818,1
5,0,0,0.0,0.8333039611902209,0,1,1,1,2,2,3,3,0.429656434684317,0
7,1,1,3.1546836189655485,11.567194901110282,0,2,0,1,1,2,2,3,0.4146727126579882,0
8,0,0,0.0,4.311223393061237,0,2,0,2,1,1,2,2,0.365853134510162,0
4,0,0,0.0,2.508201607437108,0,2,0,2,2,1,1,2,0.4149921001136506,0
0,0,0,0.0,10.704757205904286,1,1,1,2,2,2,1,1,0.4466423557577116,0
18,1,1,5.917989482767898,15.07744539017873,0,0,1,1,2,2,2,1,0.9219866757262063,1
9,1,1,2.8913259419054755,22.182874873711086,0,0,1,0,1,2,2,2,0.9381163988036847,1
11,1,1,5.264630361319719,0.5,0,0,1,0,0,1,2,2,0.9379181008035166,1
23,0,0,0.0,11.207227081680264,0,1,1,0,0,0,1,2,0.5514263269859696,0
14,0,0,0.0,4.660598215343834,0,1,1,1,0,0,0,1,0.4908620919825461,0
21,0,0,0.0,71.67631214761364,0,2,0,1,1,0,0,0,0.4414629881373595,0
23,0,0,0.0,2.5606982442395223,0,3,0,2,1,1,0,0,0.27937672383949147,0
8,1,1,5.47942474392859,8.639685453796226,0,2,0,3,2,1,1,0,0.5324133163731375,0
19,1,1,4.883490064295248,52.61153544698557,0,2,0,2,3,2,1,1,0.5147718079336905,0
16,1,1,2.477627632969912,3.5947580717968104,0,2,0,2,2,3,2,1,0.5671205307924768,0
16,1,1,4.378797932625071,24.66801903986577,0,2,0,2,2,2,3,2,0.5465964753565878,0
19,0,0,0.0,4.176660641961895,0,2,0,2,2,2,2,3,0.24393085477341975,0
11,0,0,0.0,1.1736988905785763,0,3,0,2,2,2,2,2,0.3044792699675644,0
6,0,0,0.0,0.6554415861387616,0,4,0,3,2,2,2,2,0.20995107520438977,0
1,0,0,0.0,44.562309857879555,0,4,0,4,3,2,2,2,0.11741728897567867,0
2,0,0,0.0,3.5908739216641457,0,4,0,4,4,3,2,2,0.10871484211271629,0
16,1,1,4.80621567978135,5.178714143089476,0,4,0,4,4,4,3,2,0.28294385445727177,0
4,0,0,0.0,51.12783084281911,0,4,0,4,4,4,4,3,0.1406491267389482,0
16,0,0,0.0,16.06748989028174,0,4,0,4,4,4,4,4,0.0,0
23,0,0,0.0,10.045179610283993,0,3,0,4,4,4,4,4,0.15346133785486574,0
16,0,0,0.0,8.57514184944799,0,3,0,3,4,4,4,4,0.13091329068164323,0
16,0,0,0.0,0.746746821010732,0,3,0,3,3,4,4,4,0.24201564823954363,0
1,0,0,0.0,27.39012395566444,0,3,0,3,3,3,4,4,0.202535970142276,0
1,0,0,0.0,21.534545798443393,0,3,0,3,3,3,3,4,0.1483989238356847,0
21,0,0,0.0,1.4261624607311827,0,3,0,3,3,3,3,3,0.2450368213226399,0
22,0,0,0.0,6.541737281399908,0,2,0,3,3,3,3,3,0.2901789729402966,0
4,0,0,0.0,32.49591019036935,0,2,0,2,3,3,3,3,0.3480286223206156,0
0,0,0,0.0,4.046481777233955,0,2,0,2,2,3,3,3,0.19797769942669224,0
0,0,0,0.0,14.17165830951515,0,2,0,2,2,2,3,3,0.33966928478857517,0
18,0,0,0.0,10.039582140993808,0,3,0,2,2,2,2,3,0.20862878882199137,0
1,0,0,0.0,25.599289001241267,1,3,0,3,2,2,2,2,0.35806900835900923,0
20,1,1,3.8917079540287793,0.5507923215470006,0,2,0,3,3,2,2,2,0.40446687077971105,0
11,1,1,5.127932413391946,25.40428849863137,0,2,0,2,3,3,2,2,0.5140617878511279,0
5,0,0,0.0,2.1878629594896304,0,1,1,2,2,3,3,2,0.42362970178687215,0
22,1,1,2.709432055635758,0.5,1,0,1,1,2,2,3,3,0.8173473770193085,1
3,0,0,0.0,13.57658276003375,0,0,1,0,1,2,2,3,0.5485992251985796,0
22,1,1,4.802684185790855,4.4890560560853,0,0,1,0,0,1,2,2,0.9144590545408633,1
10,0,0,0.0,18.53078281555713,0,0,1,0,0,0,1,2,0.5400526514930163,0
23,0,0,0.0,9.517038831487431,0,0,1,0,0,0,0,1,0.63051640250466,0
16,1,1,6.8440680509814555,13.952956192613046,1,0,1,0,0,0,0,0,0.9594340959463752,1
5,0,0,0.0,17.553541518029903,0,1,1,0,0,0,0,0,0.5616567464535843,0
23,0,0,0.0,39.24463463923074,0,0,1,1,0,0,0,0,0.6493418611467898,0
4,0,0,0.0,25.98343972950294,0,1,1,0,1,0,0,0,0.553804722684701,0
19,0,0,0.0,10.25127998299022,0,0,1,1,0,1,0,0,0.5526874243268362,0
1,1,1,4.5377264598195435,8.644225336034179,0,0,1,0,1,0,1,0,0.9449904338334271,1
5,0,0,0.0,15.949086258856296,0,0,1,0,0,1,0,1,0.6210876152978355,0
21,0,0,0.0,19.83763622854718,0,1,1,0,0,0,1,0,0.5370048332473711,0
10,0,0,0.0,2.84297617903323,0,0,1,1,0,0,0,1,0.6073182980513758,0
15,0,0,0.0,0.5,1,0,1,0,1,0,0,0,0.5578201184084288,0
15,0,0,0.0,9.094990769264054,0,0,1,0,0,1,0,0,0.6055016854772557,0
0,0,0,0.0,1.5712958742244867,0,0,1,0,0,0,1,0,0.659929600695719,1
8,0,0,0.0,4.776934767304064,0,0,1,0,0,0,0,1,0.5424441756705468,0
5,0,0,0.0,13.182742261722698,0,0,1,0,0,0,0,0,0.6292508041031913,0
15,0,0,0.0,2.4634299650471982,1,1,1,0,0,0,0,0,0.6096695465737163,0
2,0,1,25.0,0.5,0,2,0,1,0,0,0,0,0.5707786012564209,0
19,0,0,0.0,12.13176463346984,0,2,0,2,1,0,0,0,0.42669392337845696,0
3,0,0,0.0,9.4167848240145,0,2,0,2,2,1,0,0,0.3791439524749251,0
18,0,1,25.0,5.485801646307022,0,2,0,2,2,2,1,0,0.4982618588859438,0
2,0,0,0.0,9.48884954184463,0,3,0,2,2,2,2,1,0.20146382097628457,0
18,0,0,0.0,17.25755355544276,0,3,0,3,2,2,2,2,0.19236046626321504,0
19,1,1,3.1435474326819683,1.7311751661775938,0,4,0,3,3,2,2,2,0.24114418801919324,0
6,0,0,0.0,4.429453754047687,0,4,0,4,3,3,2,2,0.15901278457485157,0
19,0,0,0.0,23.768285576994053,0,4,0,4,4,3,3,2,0.016814035428964716,0
8,1,1,2.6072197223085736,16.635517357230743,0,3,0,4,4,4,3,3,0.33288591234392934,0
0,0,0,0.0,4.643875646811337,0,4,0,3,4,4,4,3,0.08171719492854794,0
7,0,0,0.0,7.616219001574209,0,4,0,4,3,4,4,4,0.0,0
6,0,0,0.0,1.9132339190688883,0,3,0,4,4,3,4,4,0.16712064341678037,0
17,0,0,0.0,4.377914019082779,0,3,0,3,4,4,3,4,0.11633566337551271,0
7,0,0,0.0,27.59709761398277,0,3,0,3,3,4,4,3,0.17827374405421223,0
0,0,0,0.0,8.708280849589434,0,3,0,3,3,3,4,4,0.2114489055105361,0
10,0,0,0.0,15.336975654409413,1,3,0,3,3,3,3,4,0.11846361052966159,0
17,0,1,25.0,2.6106849231503566,0,3,0,3,3,3,3,3,0.37036877398905843,0
22,1,1,4.950050637506656,3.0373557577709778,1,2,0,3,3,3,3,3,0.47398846028314445,0
9,1,1,3.7894049071161087,42.43322656171315,0,2,0,2,3,3,3,3,0.4849967862931578,0
2,0,0,0.0,27.623726708682167,0,3,0,2,2,3,3,3,0.23532255111436604,0
6,0,0,0.0,23.433360504460097,0,2,0,3,2,2,3,3,0.25524310961371777,0
15,1,1,4.1880847443674005,5.997993551843186,0,2,0,2,3,2,2,3,0.4800084040494863,0
15,1,1,4.217091971152755,12.408957773363907,1,1,1,2,2,3,2,2,0.6811648501503905,1
19,1,1,3.0945772273464063,10.169181572194537,0,0,1,1,2,2,3,2,0.840735575217455,1
16,0,0,0.0,46.93232448024467,0,0,1,0,1,2,2,3,0.5062212586041678,0
1,0,0,0.0,4.109339227724391,0,0,1,0,0,1,2,2,0.5866581587022216,0
0,0,0,0.0,44.128032472472164,0,1,1,0,0,0,1,2,0.49473834253399823,0
15,0,0,0.0,18.406085273465767,0,2,0,1,0,0,0,1,0.4114317584045381,0
11,0,0,0.0,8.008638809183653,0,2,0,2,1,0,0,0,0.4236308075504964,0
4,0,0,0.0,4.645947442800778,0,3,0,2,2,1,0,0,0.31197297157193576,0
4,0,0,0.0,21.242235859640132,0,3,0,3,2,2,1,0,0.3043108520571367,0
22,1,1,5.191020470323208,25.96856952621638,0,2,0,3,3,2,2,1,0.4569836429496742,0
8,1,1,4.424571163888408,6.636466222972047,0,2,0,2,3,3,2,2,0.4302396588979168,0
8,0,0,0.0,2.828956503813592,0,2,0,2,2,3,3,2,0.3034009964398668,0
2,0,0,0.0,10.166330975442785,0,2,0,2,2,2,3,3,0.4251112064353901,0
18,0,1,25.0,9.480846985134951,0,1,1,2,2,2,2,3,0.7387672200412952,1
15,0,0,0.0,19.38673788076611,0,2,0,1,2,2,2,2,0.41939630113378706,0
15,0,0,0.0,54.28182610808726,0,3,0,2,1,2,2,2,0.1870382731639783,0
2,0,0,0.0,11.366315816404182,1,4,0,3,2,1,2,2,0.04995342412209519,0
19,0,0,0.0,19.735821238505885,0,4,0,4,3,2,1,2,0.19533620100714383,0
23,0,0,0.0,6.475126346079545,0,4,0,4,4,3,2,1,0.1740106081981061,0
21,1,1,6.703006462771705,13.728422313300445,0,4,0,4,4,4,3,2,0.31320029944853084,0
23,0,0,0.0,1.8380737119337094,0,4,0,4,4,4,4,3,0.0674539394321652,0
0,0,0,0.0,25.30564817659827,0,4,0,4,4,4,4,4,0.03088982780417736,0
23,0,0,0.0,6.3313329592530545,0,4,0,4,4,4,4,4,0.06399721687644114,0
19,1,1,2.779394868085274,1.2513982939308184,0,3,0,4,4,4,4,4,0.3002247766403346,0
10,0,0,0.0,69.94418680166284,0,4,0,3,4,4,4,4,0.07704955535243338,0
16,1,1,4.349893290475313,34.80943804341779,0,3,0,4,3,4,4,4,0.34519780463738886,0
7,1,1,4.9799609008596475,3.2991055361860053,0,2,0,3,4,3,4,4,0.4760619125371748,0
3,0,0,0.0,6.769538250755052,0,3,0,2,3,4,3,4,0.1274485522073081,0
5,0,0,0.0,41.40224332846755,0,2,0,3,2,3,4,3,0.33778601705081684,0
7,0,0,0.0,23.868719936472818,0,2,0,2,3,2,3,4,0.2512267137732088,0
19,0,0,0.0,35.53283201791742,0,1,1,2,2,3,2,3,0.5229405034327077,0
2,0,0,0.0,12.401885384355243,0,1,1,1,2,2,3,2,0.42981106425154236,0
15,0,0,0.0,4.1781834754928235,0,1,1,1,1,2,2,3,0.4099807426704565,0
2,0,0,0.0,3.8631821853732227,0,1,1,1,1,1,2,2,0.5211055613849156,0
17,0,0,0.0,11.187785812749983,0,0,1,1,1,1,1,2,0.6077407948312724,0
13,0,0,0.0,38.65532338386519,0,0,1,0,1,1,1,1,0.522844933575955,0
17,1,1,4.374274791450996,14.978259608129425,1,0,1,0,0,1,1,1,0.9161676347050558,1
1,0,0,0.0,0.5249370093289764,0,0,1,0,0,0,1,1,0.6137421014220736,0
